Násobička,Plocha,Pravděpodobnost chyby,,Průměrná absolutní chyba,,Nejhorší absolutní chyba
,,měření,EvoApproxLib,měření,EvoApproxLib,měření,EvoApproxLib
mul8u_17MN,13.1,0.97,0.99,2342.61,5249,17726,17853
mul8u_17MJ,18.8,0.89,0.99,1406.84,4276,17030,17793
mul8u_R36,60.5,0.98,0.98,3764.64,3828,32289,32289
mul8u_Z9D,220.6,0.89,0.89,3141.56,3169,31752,32258
mul8u_17R6,228.5,0.98,0.99,185.57,442,1905,1925
mul8u_2NDH,347.8,0.99,0.99,93.52,285,2709,2709
mul8u_197B,395.6,0.98,0.98,69.92,119,424,431
mul8u_NLX,511.5,0.95,0.96,6.06,42,161,161
mul8u_GTR,550.5,0.84,0.85,20.1,29,125,125
mul8u_BG1,561.8,0.49,0.5,289.01,284,2932,2938
mul8u_R92,604.5,0.83,0.88,2.84,11,39,40
mul8u_ZB3,682.8,0.07,0.06,0.14,0.12,2,2
mul8u_12KA,683.3,0.09,0.09,11.91,12,192.0,192
