multiplier,Plocha,Pravděpodobnost chyby,Průměrná absolutní chyba,Nejhorší absolutní chyba
mul8u_17MN,13.1,0.97,2342.61,17726.0
mul8u_17MJ,18.8,0.89,1406.84,17030.0
mul8u_R36,60.5,0.98,3764.64,32289.0
mul8u_1A0M,75.6,0.98,96.1,7171.0
mul8u_Z9D,220.6,0.89,3141.56,31752.0
mul8u_17R6,228.5,0.98,185.57,1905.0
mul8u_2NDH,347.8,0.99,93.52,2709.0
mul8u_197B,395.6,0.98,69.92,424.0
mul8u_NLX,511.5,0.95,6.06,161.0
mul8u_GTR,550.5,0.84,20.1,125.0
mul8u_BG1,561.8,0.49,289.01,2932.0
mul8u_R92,604.5,0.83,2.84,39.0
mul8u_ZB3,682.8,0.07,0.14,2.0
mul8u_12KA,683.3,0.09,11.91,192.0
